bid,ask,bid_vol,ask_vol,time
1.1384200000000002,1.1384400000000001,1000000.0,3190000.0572,2019-02-28T13:45:00.069000Z
1.1384100000000001,1.1384400000000001,1250000.0,1250000.0,2019-02-28T13:45:00.121000Z
1.1384200000000002,1.1384400000000001,1000000.0,1450000.0477,2019-02-28T13:45:00.225000Z
1.1384100000000001,1.13843,1940000.0572,3940000.0572,2019-02-28T13:45:00.380000Z
1.1384,1.1384200000000002,1120000.0048,1000000.0,2019-02-28T13:45:00.584000Z
1.13839,1.13843,5519999.9809,3190000.0572,2019-02-28T13:45:00.703000Z
1.13839,1.1384100000000001,2940000.0572,1250000.0,2019-02-28T13:45:00.806000Z
1.13836,1.13839,1120000.0048,1250000.0,2019-02-28T13:45:00.908000Z
1.13835,1.1384,3640000.1049,5570000.1717,2019-02-28T13:45:01.011000Z
1.13836,1.13839,1000000.0,1250000.0,2019-02-28T13:45:01.130000Z
1.13835,1.13839,4690000.0572,3319999.9332,2019-02-28T13:45:01.544000Z
1.13835,1.13839,2440000.0572,2140000.1049,2019-02-28T13:45:01.747000Z
1.13836,1.13839,4500000.0,2140000.1049,2019-02-28T13:45:01.860000Z
1.13838,1.13839,1309999.9428,1100000.0238,2019-02-28T13:45:02.168000Z
1.1384,1.1384200000000002,2319999.9332,1000000.0,2019-02-28T13:45:02.330000Z
1.1384200000000002,1.13843,1000000.0,1200000.0477,2019-02-28T13:45:02.382000Z
1.1384,1.13845,7139999.8665,4949999.8093,2019-02-28T13:45:02.485000Z
1.1384,1.1384400000000001,3450000.0477,1370000.0048,2019-02-28T13:45:02.588000Z
1.1384,1.1384200000000002,1000000.0,1000000.0,2019-02-28T13:45:02.691000Z
1.1384100000000001,1.1384400000000001,1250000.0,4070000.1717,2019-02-28T13:45:02.843000Z
1.1384,1.13843,1500000.0,1759999.9905,2019-02-28T13:45:03.202000Z
1.1384,1.1384100000000001,1000000.0,1120000.0048,2019-02-28T13:45:03.304000Z
1.13836,1.13838,1000000.0,2890000.1049,2019-02-28T13:45:03.410000Z
1.13835,1.13837,2950000.0477,1000000.0,2019-02-28T13:45:03.513000Z
1.13835,1.13838,4070000.1717,1250000.0,2019-02-28T13:45:03.615000Z
1.13835,1.13838,5949999.8093,4409999.8474,2019-02-28T13:45:03.863000Z
1.13835,1.13838,3700000.0477,3190000.0572,2019-02-28T13:45:03.966000Z
1.13835,1.13839,1200000.0477,2200000.0477,2019-02-28T13:45:04.390000Z
1.13835,1.13838,7409999.8474,1950000.0477,2019-02-28T13:45:04.698000Z
1.13835,1.13838,4389999.8665,1000000.0,2019-02-28T13:45:04.817000Z
1.13835,1.13839,5139999.8665,4010000.2289,2019-02-28T13:45:04.920000Z
1.13835,1.13838,2440000.0572,1570000.0525,2019-02-28T13:45:05.073000Z
1.13834,1.13838,1620000.0048,2319999.9332,2019-02-28T13:45:05.175000Z
1.13834,1.13837,1000000.0,1389999.9857,2019-02-28T13:45:05.290000Z
1.13833,1.13836,1500000.0,2509999.9905,2019-02-28T13:45:05.394000Z
1.13833,1.13835,1500000.0,1000000.0,2019-02-28T13:45:05.548000Z
1.13833,1.13836,1000000.0,5349999.9046,2019-02-28T13:45:05.652000Z
1.1383200000000002,1.13834,1000000.0,1009999.9905,2019-02-28T13:45:05.775000Z
1.1383100000000002,1.13835,2440000.0572,3789999.9619,2019-02-28T13:45:06.670000Z
1.1383200000000002,1.13835,1000000.0,4219999.7902,2019-02-28T13:45:06.932000Z
1.1383100000000002,1.13834,2250000.0,1350000.0238,2019-02-28T13:45:07.035000Z
1.1383100000000002,1.13835,2250000.0,3470000.0286,2019-02-28T13:45:07.137000Z
1.1383100000000002,1.13835,2250000.0,3069999.9332,2019-02-28T13:45:07.239000Z
1.1383200000000002,1.13835,1000000.0,5210000.0381,2019-02-28T13:45:07.445000Z
1.1383100000000002,1.13835,1690000.0572,5719999.7902,2019-02-28T13:45:07.548000Z
1.1383100000000002,1.13834,1690000.0572,4449999.8093,2019-02-28T13:45:07.650000Z
1.1383,1.1383100000000002,1870000.0048,1000000.0,2019-02-28T13:45:08.884000Z
1.13825,1.13829,6750000.0,1350000.0238,2019-02-28T13:45:09.013000Z
1.13824,1.13826,1000000.0,4119999.8856,2019-02-28T13:45:09.116000Z
1.13824,1.13825,1250000.0,1200000.0477,2019-02-28T13:45:09.218000Z
