bid,ask,bid_vol,ask_vol,time
1.24664,1.24666,3559999.9428,1000000.0,2018-01-31T13:45:00.310000Z
1.24666,1.2466700000000002,1120000.0048,1500000.0,2018-01-31T13:45:00.618000Z
1.24666,1.24669,1950000.0477,2809999.9428,2018-01-31T13:45:01.147000Z
1.24665,1.2466700000000002,1950000.0477,1000000.0,2018-01-31T13:45:01.306000Z
1.24665,1.2466700000000002,1000000.0,1000000.0,2018-01-31T13:45:01.847000Z
1.24666,1.2466700000000002,1000000.0,1500000.0,2018-01-31T13:45:03.283000Z
1.24665,1.2466700000000002,1200000.0477,1500000.0,2018-01-31T13:45:03.805000Z
1.24666,1.2466700000000002,1000000.0,1500000.0,2018-01-31T13:45:04.339000Z
1.24663,1.24665,4570000.1717,1500000.0,2018-01-31T13:45:05.728000Z
1.24661,1.24663,1200000.0477,1000000.0,2018-01-31T13:45:05.831000Z
1.24661,1.24662,1200000.0477,1000000.0,2018-01-31T13:45:06.428000Z
1.2466000000000002,1.24662,2700000.0477,1000000.0,2018-01-31T13:45:07.408000Z
1.24659,1.2466000000000002,2319999.9332,1000000.0,2018-01-31T13:45:09.024000Z
1.2465700000000002,1.24658,1200000.0477,1250000.0,2018-01-31T13:45:09.129000Z
1.2465600000000001,1.2465700000000002,1200000.0477,1000000.0,2018-01-31T13:45:09.490000Z
1.24653,1.24655,3450000.0477,1000000.0,2018-01-31T13:45:09.699000Z
1.24649,1.24651,1870000.0048,1000000.0,2018-01-31T13:45:09.941000Z
1.24645,1.2464700000000002,2470000.0286,1000000.0,2018-01-31T13:45:10.257000Z
1.2464600000000001,1.24649,5739999.7711,1000000.0,2018-01-31T13:45:10.310000Z
1.2464700000000002,1.2465000000000002,1500000.0,2059999.9428,2018-01-31T13:45:10.364000Z
1.2464600000000001,1.24648,1419999.9571,1690000.0572,2018-01-31T13:45:10.469000Z
1.24649,1.2465000000000002,1000000.0,1250000.0,2018-01-31T13:45:10.855000Z
1.24648,1.2465000000000002,4869999.8856,1250000.0,2018-01-31T13:45:12.294000Z
1.24649,1.2465000000000002,1200000.0477,1690000.0572,2018-01-31T13:45:12.839000Z
1.24649,1.24651,4199999.8093,1250000.0,2018-01-31T13:45:13.343000Z
1.24649,1.2465000000000002,1000000.0,1250000.0,2018-01-31T13:45:13.893000Z
1.2465000000000002,1.24651,1200000.0477,1690000.0572,2018-01-31T13:45:14.415000Z
1.24649,1.2465000000000002,1950000.0477,1250000.0,2018-01-31T13:45:15.439000Z
1.2465000000000002,1.24651,1870000.0048,1250000.0,2018-01-31T13:45:16.857000Z
1.2465000000000002,1.24652,5550000.1907,1000000.0,2018-01-31T13:45:17.062000Z
1.24653,1.24654,2250000.0,1690000.0572,2018-01-31T13:45:18.458000Z
1.2465600000000001,1.2465700000000002,1200000.0477,1690000.0572,2018-01-31T13:45:18.771000Z
1.24653,1.24655,2890000.1049,1500000.0,2018-01-31T13:45:19.227000Z
1.24655,1.2465600000000001,1200000.0477,1250000.0,2018-01-31T13:45:19.747000Z
1.24654,1.2465600000000001,3259999.9905,1250000.0,2018-01-31T13:45:20.250000Z
1.24655,1.2465600000000001,1200000.0477,1250000.0,2018-01-31T13:45:22.714000Z
1.24655,1.2465700000000002,1120000.0048,2440000.0572,2018-01-31T13:45:23.268000Z
1.24659,1.2466000000000002,6369999.8856,1000000.0,2018-01-31T13:45:24.181000Z
1.24661,1.24662,8399999.6185,1000000.0,2018-01-31T13:45:24.606000Z
1.24663,1.24664,1500000.0,1500000.0,2018-01-31T13:45:25.348000Z
1.24664,1.24666,3369999.8856,1000000.0,2018-01-31T13:45:25.453000Z
1.24665,1.24666,2400000.0954,1690000.0572,2018-01-31T13:45:25.505000Z
1.24665,1.24666,1120000.0048,2250000.0,2018-01-31T13:45:26.474000Z
