bid,ask,bid_vol,ask_vol,time
1.14436,1.1444100000000001,3000000.0,1250000.0,2018-12-28T13:45:01.671000Z
1.14437,1.1444100000000001,2250000.0,1000000.0,2018-12-28T13:45:01.826000Z
1.14437,1.1444200000000002,1500000.0,3750000.0,2018-12-28T13:45:02.364000Z
1.14437,1.1444200000000002,1500000.0,3809999.9428,2018-12-28T13:45:02.551000Z
1.14437,1.1444,1000000.0,1690000.0572,2018-12-28T13:45:02.668000Z
1.14438,1.1444200000000002,1000000.0,6219999.7902,2018-12-28T13:45:04.168000Z
1.14437,1.1444200000000002,3599999.9046,3599999.9046,2018-12-28T13:45:04.270000Z
1.14437,1.1444200000000002,2319999.9332,4860000.1335,2018-12-28T13:45:04.678000Z
1.14438,1.1444100000000001,1000000.0,1000000.0,2018-12-28T13:45:04.946000Z
1.14438,1.1444200000000002,1500000.0,1120000.0048,2018-12-28T13:45:05.049000Z
1.14439,1.14443,1250000.0,2750000.0,2018-12-28T13:45:05.152000Z
1.14438,1.14443,6000000.0,3500000.0,2018-12-28T13:45:05.255000Z
1.14439,1.14443,1000000.0,4250000.0,2018-12-28T13:45:05.680000Z
1.14438,1.14443,5250000.0,3500000.0,2018-12-28T13:45:05.782000Z
1.14439,1.14443,1000000.0,4809999.9428,2018-12-28T13:45:05.936000Z
1.14438,1.14443,4389999.8665,3119999.8856,2018-12-28T13:45:06.166000Z
1.14438,1.1444,2440000.0572,1000000.0,2018-12-28T13:45:06.568000Z
1.14435,1.14438,1000000.0,1120000.0048,2018-12-28T13:45:06.670000Z
1.14434,1.14438,1000000.0,1690000.0572,2018-12-28T13:45:06.773000Z
1.14433,1.14438,2509999.9905,1309999.9428,2018-12-28T13:45:06.977000Z
1.14433,1.14437,5440000.0572,1000000.0,2018-12-28T13:45:07.352000Z
1.14433,1.14438,3190000.0572,1690000.0572,2018-12-28T13:45:07.505000Z
1.14433,1.14437,5440000.0572,1000000.0,2018-12-28T13:45:07.615000Z
1.1443100000000002,1.14433,1000000.0,1000000.0,2018-12-28T13:45:07.666000Z
1.1443,1.14434,1000000.0,2809999.9428,2018-12-28T13:45:07.769000Z
1.1443,1.14434,3309999.9428,1120000.0048,2018-12-28T13:45:07.922000Z
1.14433,1.14435,1000000.0,1500000.0,2018-12-28T13:45:08.039000Z
1.14428,1.14429,1000000.0,1870000.0048,2018-12-28T13:45:08.143000Z
1.14426,1.1443,1000000.0,3869999.8856,2018-12-28T13:45:08.245000Z
1.14425,1.1443,6150000.0954,4809999.9428,2018-12-28T13:45:08.347000Z
1.14426,1.14429,3000000.0,4690000.0572,2018-12-28T13:45:08.501000Z
1.14424,1.14429,5320000.1717,1250000.0,2018-12-28T13:45:08.552000Z
1.14425,1.14429,1000000.0,2809999.9428,2018-12-28T13:45:08.654000Z
