bid,ask,bid_vol,ask_vol,time
1.20838,1.20843,1570000.0525,3450000.0477,2018-04-30T12:45:00.057000Z
1.20839,1.20842,1000000.0,2509999.9905,2018-04-30T12:45:00.585000Z
1.2084000000000001,1.20844,1500000.0,4570000.1717,2018-04-30T12:45:00.637000Z
1.2084000000000001,1.20845,10050000.1907,3450000.0477,2018-04-30T12:45:02.235000Z
1.2084000000000001,1.20844,1389999.9857,8130000.1144,2018-04-30T12:45:02.599000Z
1.2084000000000001,1.20844,1820000.0525,1389999.9857,2018-04-30T12:45:03.217000Z
1.20841,1.20846,2170000.0763,3819999.9332,2018-04-30T12:45:03.323000Z
1.20843,1.2084700000000002,3279999.9714,3259999.9905,2018-04-30T12:45:03.840000Z
1.20846,1.20849,1120000.0048,2140000.1049,2018-04-30T12:45:04.216000Z
1.20845,1.2085000000000001,8170000.0763,2140000.1049,2018-04-30T12:45:04.269000Z
1.20846,1.2085000000000001,1200000.0477,3640000.1049,2018-04-30T12:45:04.782000Z
1.20846,1.2085000000000001,2140000.1049,2890000.1049,2018-04-30T12:45:05.369000Z
1.20844,1.20848,3819999.9332,1009999.9905,2018-04-30T12:45:05.897000Z
1.20844,1.20848,2319999.9332,1009999.9905,2018-04-30T12:45:06.014000Z
1.20843,1.20845,2140000.1049,1000000.0,2018-04-30T12:45:06.427000Z
1.20841,1.20845,11510000.2289,2140000.1049,2018-04-30T12:45:06.632000Z
1.20841,1.20845,1100000.0238,5889999.8665,2018-04-30T12:45:07.183000Z
1.2084000000000001,1.20845,12109999.6567,5139999.8665,2018-04-30T12:45:07.947000Z
1.20841,1.20845,1009999.9905,4199999.8093,2018-04-30T12:45:08.497000Z
1.2084000000000001,1.20844,6860000.1335,1690000.0572,2018-04-30T12:45:09.342000Z
1.2084000000000001,1.20845,4610000.1335,8510000.2289,2018-04-30T12:45:09.850000Z
1.2084000000000001,1.20845,3859999.8951,5139999.8665,2018-04-30T12:45:09.902000Z
1.20841,1.20845,1389999.9857,3819999.9332,2018-04-30T12:45:12.897000Z
1.2084000000000001,1.20844,2319999.9332,1570000.0525,2018-04-30T12:45:14.304000Z
1.20839,1.20841,2700000.0477,1000000.0,2018-04-30T12:45:14.357000Z
1.2084000000000001,1.20844,1570000.0525,3259999.9905,2018-04-30T12:45:14.615000Z
1.20839,1.20843,2140000.1049,1759999.9905,2018-04-30T12:45:15.137000Z
1.2084000000000001,1.20843,1250000.0,1389999.9857,2018-04-30T12:45:15.669000Z
1.20841,1.20843,3000000.0,1000000.0,2018-04-30T12:45:16.180000Z
1.20841,1.20845,1299999.9523,3819999.9332,2018-04-30T12:45:16.690000Z
1.20841,1.20845,3490000.0095,1950000.0477,2018-04-30T12:45:16.793000Z
1.20841,1.20845,2359999.8951,1950000.0477,2018-04-30T12:45:17.343000Z
1.2084000000000001,1.20844,4760000.2289,6389999.8665,2018-04-30T12:45:17.745000Z
1.2084000000000001,1.20842,1450000.0477,2250000.0,2018-04-30T12:45:18.372000Z
1.20838,1.20841,4420000.0763,1000000.0,2018-04-30T12:45:18.479000Z
1.20839,1.20843,1200000.0477,5260000.2289,2018-04-30T12:45:18.937000Z
1.20839,1.20842,1100000.0238,2940000.0572,2018-04-30T12:45:19.478000Z
