bid,ask,bid_vol,ask_vol,time
1.1163,1.1163100000000001,750000.0,259999.9905,2019-10-31T12:45:00.160000Z
1.1163,1.1163200000000002,1500000.0,449999.9881,2019-10-31T12:45:00.282000Z
1.1163100000000001,1.1163200000000002,750000.0,370000.0048,2019-10-31T12:45:00.383000Z
1.1163,1.1163200000000002,750000.0,370000.0048,2019-10-31T12:45:00.586000Z
1.11629,1.1163200000000002,1120000.0048,3559999.9428,2019-10-31T12:45:00.687000Z
1.1163,1.1163200000000002,1500000.0,189999.9976,2019-10-31T12:45:00.789000Z
1.11629,1.1163200000000002,1500000.0,2440000.0572,2019-10-31T12:45:01.489000Z
1.11629,1.1163100000000001,750000.0,1690000.0572,2019-10-31T12:45:01.591000Z
1.11628,1.1163,1120000.0048,100000.0015,2019-10-31T12:45:01.727000Z
1.1163100000000001,1.1163200000000002,1690000.0572,1500000.0,2019-10-31T12:45:02.462000Z
1.1163200000000002,1.11634,3369999.8856,3450000.0477,2019-10-31T12:45:02.559000Z
1.11634,1.11635,2250000.0,189999.9976,2019-10-31T12:45:02.609000Z
1.11634,1.11636,1500000.0,1690000.0572,2019-10-31T12:45:02.711000Z
1.11634,1.11635,750000.0,100000.0015,2019-10-31T12:45:03.687000Z
1.11633,1.11635,1500000.0,100000.0015,2019-10-31T12:45:03.789000Z
1.11633,1.11636,1500000.0,3640000.1049,2019-10-31T12:45:03.891000Z
1.11633,1.11635,750000.0,750000.0,2019-10-31T12:45:04.610000Z
1.11633,1.11634,750000.0,750000.0,2019-10-31T12:45:05.119000Z
1.1163100000000001,1.1163200000000002,1500000.0,1870000.0048,2019-10-31T12:45:05.235000Z
1.1163200000000002,1.11634,750000.0,2250000.0,2019-10-31T12:45:05.338000Z
1.11633,1.11635,2250000.0,370000.0048,2019-10-31T12:45:05.389000Z
1.11633,1.11636,750000.0,1690000.0572,2019-10-31T12:45:05.795000Z
1.11633,1.11635,2250000.0,100000.0015,2019-10-31T12:45:06.242000Z
1.11634,1.11635,750000.0,189999.9976,2019-10-31T12:45:07.836000Z
1.11634,1.11637,750000.0,2140000.1049,2019-10-31T12:45:07.887000Z
1.11635,1.11637,1870000.0048,750000.0,2019-10-31T12:45:08.031000Z
1.11636,1.11638,1500000.0,819999.9928,2019-10-31T12:45:08.134000Z
1.11637,1.11639,750000.0,2700000.0477,2019-10-31T12:45:08.186000Z
1.11638,1.1164,750000.0,639999.9857,2019-10-31T12:45:08.287000Z
1.11639,1.1164,750000.0,560000.0024,2019-10-31T12:45:08.389000Z
1.11639,1.1164100000000001,1509999.9905,750000.0,2019-10-31T12:45:09.428000Z
1.11639,1.1164200000000002,759999.9905,3960000.0381,2019-10-31T12:45:09.530000Z
1.11638,1.1164100000000001,3000000.0,1500000.0,2019-10-31T12:45:09.683000Z
1.11639,1.1164100000000001,100000.0015,1500000.0,2019-10-31T12:45:09.785000Z
1.11638,1.1164100000000001,3000000.0,1500000.0,2019-10-31T12:45:09.887000Z
1.1164,1.1164200000000002,1870000.0048,750000.0,2019-10-31T12:45:10.399000Z
1.1164,1.11643,819999.9928,1950000.0477,2019-10-31T12:45:10.501000Z
1.1164,1.1164200000000002,819999.9928,2059999.9428,2019-10-31T12:45:10.604000Z
1.11639,1.1164100000000001,750000.0,259999.9905,2019-10-31T12:45:10.706000Z
1.11638,1.1164100000000001,1870000.0048,189999.9976,2019-10-31T12:45:10.807000Z
1.1164,1.1164200000000002,750000.0,449999.9881,2019-10-31T12:45:10.960000Z
1.11639,1.1164200000000002,1690000.0572,189999.9976,2019-10-31T12:45:11.216000Z
1.11639,1.1164100000000001,1009999.9905,750000.0,2019-10-31T12:45:12.267000Z
1.11639,1.1164,1500000.0,750000.0,2019-10-31T12:45:12.551000Z
1.11637,1.1164,5139999.8665,750000.0,2019-10-31T12:45:12.603000Z
1.11637,1.11639,2319999.9332,750000.0,2019-10-31T12:45:12.705000Z
1.11635,1.11637,7760000.2289,750000.0,2019-10-31T12:45:12.756000Z
1.11636,1.11637,100000.0015,1500000.0,2019-10-31T12:45:12.915000Z
1.11634,1.11636,100000.0015,1500000.0,2019-10-31T12:45:12.966000Z
1.1163200000000002,1.11633,3750000.0,1500000.0,2019-10-31T12:45:13.017000Z
1.1163100000000001,1.11633,3559999.9428,750000.0,2019-10-31T12:45:13.119000Z
1.11634,1.11635,560000.0024,1120000.0048,2019-10-31T12:45:14.135000Z
1.11637,1.11638,750000.0,750000.0,2019-10-31T12:45:14.186000Z
1.11637,1.11638,1500000.0,750000.0,2019-10-31T12:45:14.288000Z
1.11635,1.11637,1740000.0095,100000.0015,2019-10-31T12:45:14.390000Z
1.11634,1.11636,1500000.0,1500000.0,2019-10-31T12:45:14.492000Z
1.11633,1.11634,370000.0048,1500000.0,2019-10-31T12:45:14.594000Z
1.1163200000000002,1.11634,449999.9881,2619999.8856,2019-10-31T12:45:14.715000Z
1.1163100000000001,1.1163200000000002,750000.0,750000.0,2019-10-31T12:45:14.817000Z
1.1163,1.1163200000000002,1120000.0048,3000000.0,2019-10-31T12:45:16.290000Z
1.1163,1.11633,370000.0048,2700000.0477,2019-10-31T12:45:17.016000Z
1.11629,1.1163100000000001,1500000.0,750000.0,2019-10-31T12:45:17.219000Z
1.11629,1.1163100000000001,750000.0,2059999.9428,2019-10-31T12:45:19.404000Z
1.11627,1.11628,449999.9881,2250000.0,2019-10-31T12:45:19.455000Z
1.11626,1.11627,1120000.0048,750000.0,2019-10-31T12:45:19.557000Z
1.11626,1.11628,1120000.0048,3259999.9905,2019-10-31T12:45:19.733000Z
1.11626,1.11627,1120000.0048,750000.0,2019-10-31T12:45:21.354000Z
1.11627,1.11628,2250000.0,750000.0,2019-10-31T12:45:23.491000Z
1.11627,1.11629,2250000.0,750000.0,2019-10-31T12:45:23.593000Z
1.11628,1.11629,750000.0,750000.0,2019-10-31T12:45:23.899000Z
1.11629,1.1163100000000001,1500000.0,939999.9976,2019-10-31T12:45:24Z
1.11628,1.1163100000000001,750000.0,939999.9976,2019-10-31T12:45:24.202000Z
1.11628,1.1163,1120000.0048,750000.0,2019-10-31T12:45:25.362000Z
1.11628,1.1163100000000001,1500000.0,1690000.0572,2019-10-31T12:45:26.250000Z
1.11628,1.1163,750000.0,750000.0,2019-10-31T12:45:27.376000Z
