bid,ask,bid_vol,ask_vol,time
1.22107,1.2211,1070000.0525,1500000.0,2018-02-28T13:45:00.064000Z
1.22108,1.2211,1200000.0477,1000000.0,2018-02-28T13:45:00.748000Z
1.22107,1.2211,1389999.9857,1000000.0,2018-02-28T13:45:01.822000Z
1.22105,1.22107,1950000.0477,3000000.0,2018-02-28T13:45:02.131000Z
1.22106,1.22109,1950000.0477,1309999.9428,2018-02-28T13:45:02.655000Z
1.22105,1.22109,1570000.0525,2440000.0572,2018-02-28T13:45:03.907000Z
1.22105,1.22107,1389999.9857,1250000.0,2018-02-28T13:45:03.961000Z
1.2210200000000002,1.22105,1320000.0525,2809999.9428,2018-02-28T13:45:04.273000Z
1.2210100000000002,1.2210400000000001,1570000.0525,1000000.0,2018-02-28T13:45:05.091000Z
1.22097,1.22099,3069999.9332,1000000.0,2018-02-28T13:45:05.406000Z
1.22095,1.221,5699999.8093,3000000.0,2018-02-28T13:45:05.459000Z
1.22098,1.2210200000000002,1070000.0525,2319999.9332,2018-02-28T13:45:05.616000Z
1.221,1.2210200000000002,3000000.0,1000000.0,2018-02-28T13:45:06.427000Z
1.221,1.2210400000000001,1250000.0,2890000.1049,2018-02-28T13:45:06.479000Z
1.22099,1.2210200000000002,3259999.9905,1690000.0572,2018-02-28T13:45:06.530000Z
1.22097,1.2210100000000002,2319999.9332,1690000.0572,2018-02-28T13:45:06.735000Z
1.22097,1.2210100000000002,3259999.9905,2440000.0572,2018-02-28T13:45:06.842000Z
1.22096,1.22099,3069999.9332,1120000.0048,2018-02-28T13:45:07.988000Z
1.22096,1.22099,1389999.9857,1120000.0048,2018-02-28T13:45:09.032000Z
1.22096,1.221,1009999.9905,3750000.0,2018-02-28T13:45:09.824000Z
1.22097,1.22099,1320000.0525,1000000.0,2018-02-28T13:45:10.138000Z
1.22097,1.2210100000000002,1320000.0525,1610000.0143,2018-02-28T13:45:10.551000Z
1.22099,1.2210200000000002,1570000.0525,1120000.0048,2018-02-28T13:45:11.034000Z
1.221,1.2210400000000001,6820000.1717,6440000.0572,2018-02-28T13:45:11.699000Z
1.22097,1.2210100000000002,5139999.8665,5059999.9428,2018-02-28T13:45:12.198000Z
1.221,1.22103,2059999.9428,1500000.0,2018-02-28T13:45:12.407000Z
1.2210100000000002,1.2210400000000001,4199999.8093,2250000.0,2018-02-28T13:45:12.805000Z
1.2210100000000002,1.2210400000000001,1200000.0477,2250000.0,2018-02-28T13:45:12.907000Z
1.2210200000000002,1.2210400000000001,2700000.0477,1000000.0,2018-02-28T13:45:13.315000Z
1.2210200000000002,1.22106,6070000.1717,4719999.7902,2018-02-28T13:45:13.888000Z
1.2210200000000002,1.22106,1570000.0525,5059999.9428,2018-02-28T13:45:14.352000Z
1.2210200000000002,1.22105,1759999.9905,1309999.9428,2018-02-28T13:45:15.397000Z
1.2210400000000001,1.22106,1000000.0,5250000.0,2018-02-28T13:45:15.760000Z
1.22106,1.22108,1100000.0238,1000000.0,2018-02-28T13:45:15.948000Z
1.22106,1.2211,1389999.9857,4119999.8856,2018-02-28T13:45:16.474000Z
1.22106,1.2211,1200000.0477,4119999.8856,2018-02-28T13:45:16.980000Z
1.22106,1.22108,1000000.0,1000000.0,2018-02-28T13:45:17.237000Z
1.22105,1.22108,1570000.0525,6000000.0,2018-02-28T13:45:17.779000Z
1.2210400000000001,1.22107,3069999.9332,1500000.0,2018-02-28T13:45:18.289000Z
1.22103,1.22106,1200000.0477,3369999.8856,2018-02-28T13:45:18.392000Z
1.22103,1.2210400000000001,1100000.0238,4500000.0,2018-02-28T13:45:18.443000Z
1.2210200000000002,1.2210400000000001,1009999.9905,1000000.0,2018-02-28T13:45:18.578000Z
1.2210100000000002,1.22103,1389999.9857,3750000.0,2018-02-28T13:45:19.097000Z
1.22105,1.22106,1500000.0,1000000.0,2018-02-28T13:45:19.305000Z
1.22105,1.22108,3559999.9428,1200000.0477,2018-02-28T13:45:19.359000Z
1.22106,1.2211,1570000.0525,7119999.8856,2018-02-28T13:45:19.505000Z
1.22105,1.22107,5889999.8665,1250000.0,2018-02-28T13:45:19.871000Z
1.22105,1.22108,1200000.0477,1309999.9428,2018-02-28T13:45:20.412000Z
1.2210400000000001,1.22108,3819999.9332,1690000.0572,2018-02-28T13:45:20.930000Z
1.2210400000000001,1.22107,1100000.0238,1000000.0,2018-02-28T13:45:21.504000Z
1.2210200000000002,1.22105,1100000.0238,6750000.0,2018-02-28T13:45:21.763000Z
1.22099,1.2210200000000002,6639999.8665,1000000.0,2018-02-28T13:45:22.078000Z
1.22098,1.2210100000000002,8699999.8093,3750000.0,2018-02-28T13:45:22.622000Z
1.221,1.2210200000000002,1320000.0525,1000000.0,2018-02-28T13:45:22.934000Z
1.221,1.2210400000000001,3259999.9905,5099999.9046,2018-02-28T13:45:23.089000Z
1.221,1.2210200000000002,1700000.0477,2250000.0,2018-02-28T13:45:23.516000Z
1.221,1.2210400000000001,4010000.2289,3970000.0286,2018-02-28T13:45:24.112000Z
1.22099,1.2210200000000002,1200000.0477,1000000.0,2018-02-28T13:45:24.267000Z
1.22098,1.221,1389999.9857,1120000.0048,2018-02-28T13:45:24.792000Z
1.22097,1.221,1070000.0525,2059999.9428,2018-02-28T13:45:25.337000Z
1.22097,1.22099,5320000.1717,2250000.0,2018-02-28T13:45:25.970000Z
1.22097,1.2210100000000002,7570000.1717,1000000.0,2018-02-28T13:45:26.024000Z
1.221,1.2210200000000002,1100000.0238,3000000.0,2018-02-28T13:45:26.242000Z
1.22098,1.2210200000000002,2700000.0477,6369999.8856,2018-02-28T13:45:26.452000Z
1.22098,1.2210200000000002,1389999.9857,1120000.0048,2018-02-28T13:45:26.982000Z
1.22098,1.2210200000000002,3640000.1049,1120000.0048,2018-02-28T13:45:27.813000Z
