,ask,ask,ask,ask,bid,bid,bid,bid,bid_vol,ask_vol
,open,high,low,close,open,high,low,close,bid_vol,ask_vol
time,,,,,,,,,,
2018-01-31 13:45:00+00:00,1.24666,1.2466700000000002,1.24666,1.2466700000000002,1.24664,1.24666,1.24664,1.24666,4679999.9476,2500000.0
2018-01-31 13:45:01+00:00,1.2466899999999999,1.2466899999999999,1.2466700000000002,1.2466700000000002,1.24666,1.24666,1.24665,1.24665,4900000.0954,4809999.9428
2018-01-31 13:45:02+00:00,1.2466700000000002,1.2466700000000002,1.2466700000000002,1.2466700000000002,1.24665,1.24665,1.24665,1.24665,0.0,0.0
2018-01-31 13:45:03+00:00,1.2466700000000002,1.2466700000000002,1.2466700000000002,1.2466700000000002,1.24666,1.24666,1.24665,1.24665,2200000.0477,3000000.0
2018-01-31 13:45:04+00:00,1.2466700000000002,1.2466700000000002,1.2466700000000002,1.2466700000000002,1.24666,1.24666,1.24666,1.24666,1000000.0,1500000.0
2018-01-31 13:45:05+00:00,1.24665,1.24665,1.24663,1.24663,1.24663,1.24663,1.24661,1.24661,5770000.2194,2500000.0
2018-01-31 13:45:06+00:00,1.24662,1.24662,1.24662,1.24662,1.24661,1.24661,1.24661,1.24661,1200000.0477,1000000.0
2018-01-31 13:45:07+00:00,1.24662,1.24662,1.24662,1.24662,1.2466000000000002,1.2466000000000002,1.2466000000000002,1.2466000000000002,2700000.0477,1000000.0
2018-01-31 13:45:08+00:00,1.24662,1.24662,1.24662,1.24662,1.2466000000000002,1.2466000000000002,1.2466000000000002,1.2466000000000002,0.0,0.0
2018-01-31 13:45:09+00:00,1.2466000000000002,1.2466000000000002,1.24651,1.24651,1.2465899999999999,1.2465899999999999,1.2464899999999999,1.2464899999999999,10040000.0811,5250000.0
2018-01-31 13:45:10+00:00,1.2464700000000002,1.2465000000000002,1.2464700000000002,1.2465000000000002,1.24645,1.2464899999999999,1.24645,1.2464899999999999,12129999.7568,7000000.0
2018-01-31 13:45:11+00:00,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2464899999999999,1.2464899999999999,1.2464899999999999,1.2464899999999999,0.0,0.0
2018-01-31 13:45:12+00:00,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.24648,1.2464899999999999,1.24648,1.2464899999999999,6069999.9333,2940000.0571999997
2018-01-31 13:45:13+00:00,1.24651,1.24651,1.2465000000000002,1.2465000000000002,1.2464899999999999,1.2464899999999999,1.2464899999999999,1.2464899999999999,5199999.8093,2500000.0
2018-01-31 13:45:14+00:00,1.24651,1.24651,1.24651,1.24651,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2465000000000002,1200000.0477,1690000.0572
2018-01-31 13:45:15+00:00,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2464899999999999,1.2464899999999999,1.2464899999999999,1.2464899999999999,1950000.0477,1250000.0
2018-01-31 13:45:16+00:00,1.24651,1.24651,1.24651,1.24651,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2465000000000002,1870000.0048,1250000.0
2018-01-31 13:45:17+00:00,1.24652,1.24652,1.24652,1.24652,1.2465000000000002,1.2465000000000002,1.2465000000000002,1.2465000000000002,5550000.1907,1000000.0
2018-01-31 13:45:18+00:00,1.24654,1.2465700000000002,1.24654,1.2465700000000002,1.24653,1.24656,1.24653,1.24656,3450000.0477,3380000.1144
2018-01-31 13:45:19+00:00,1.24655,1.24656,1.24655,1.24656,1.24653,1.24655,1.24653,1.24655,4090000.1526,2750000.0
2018-01-31 13:45:20+00:00,1.24656,1.24656,1.24656,1.24656,1.24654,1.24654,1.24654,1.24654,3259999.9905,1250000.0
2018-01-31 13:45:21+00:00,1.24656,1.24656,1.24656,1.24656,1.24654,1.24654,1.24654,1.24654,0.0,0.0
2018-01-31 13:45:22+00:00,1.24656,1.24656,1.24656,1.24656,1.24655,1.24655,1.24655,1.24655,1200000.0477,1250000.0
2018-01-31 13:45:23+00:00,1.2465700000000002,1.2465700000000002,1.2465700000000002,1.2465700000000002,1.24655,1.24655,1.24655,1.24655,1120000.0048,2440000.0572
2018-01-31 13:45:24+00:00,1.2466000000000002,1.24662,1.2466000000000002,1.24662,1.2465899999999999,1.24661,1.2465899999999999,1.24661,14769999.504099999,2000000.0
