,bid,ask,bid_vol,ask_vol,time
0,1.20838,1.20843,1570000.0525,3450000.0477,2018-04-30T12:45:00.057000Z
1,1.20839,1.20842,1000000.0,2509999.9905,2018-04-30T12:45:00.585000Z
2,1.2084000000000001,1.20844,1500000.0,4570000.1717,2018-04-30T12:45:00.637000Z
3,1.2084000000000001,1.20845,10050000.1907,3450000.0477,2018-04-30T12:45:02.235000Z
4,1.2084000000000001,1.20844,1389999.9857,8130000.1144,2018-04-30T12:45:02.599000Z
5,1.2084000000000001,1.20844,1820000.0525,1389999.9857,2018-04-30T12:45:03.217000Z
6,1.20841,1.20846,2170000.0763,3819999.9332,2018-04-30T12:45:03.323000Z
7,1.20843,1.2084700000000002,3279999.9714,3259999.9905,2018-04-30T12:45:03.840000Z
8,1.20846,1.20849,1120000.0048,2140000.1049,2018-04-30T12:45:04.216000Z
9,1.20845,1.2085000000000001,8170000.0763,2140000.1049,2018-04-30T12:45:04.269000Z
10,1.20846,1.2085000000000001,1200000.0477,3640000.1049,2018-04-30T12:45:04.782000Z
11,1.20846,1.2085000000000001,2140000.1049,2890000.1049,2018-04-30T12:45:05.369000Z
12,1.20844,1.20848,3819999.9332,1009999.9905,2018-04-30T12:45:05.897000Z
13,1.20844,1.20848,2319999.9332,1009999.9905,2018-04-30T12:45:06.014000Z
14,1.20843,1.20845,2140000.1049,1000000.0,2018-04-30T12:45:06.427000Z
15,1.20841,1.20845,11510000.2289,2140000.1049,2018-04-30T12:45:06.632000Z
16,1.20841,1.20845,1100000.0238,5889999.8665,2018-04-30T12:45:07.183000Z
17,1.2084000000000001,1.20845,12109999.6567,5139999.8665,2018-04-30T12:45:07.947000Z
18,1.20841,1.20845,1009999.9905,4199999.8093,2018-04-30T12:45:08.497000Z
19,1.2084000000000001,1.20844,6860000.1335,1690000.0572,2018-04-30T12:45:09.342000Z
20,1.2084000000000001,1.20845,4610000.1335,8510000.2289,2018-04-30T12:45:09.850000Z
21,1.2084000000000001,1.20845,3859999.8951,5139999.8665,2018-04-30T12:45:09.902000Z
22,1.20841,1.20845,1389999.9857,3819999.9332,2018-04-30T12:45:12.897000Z
23,1.2084000000000001,1.20844,2319999.9332,1570000.0525,2018-04-30T12:45:14.304000Z
24,1.20839,1.20841,2700000.0477,1000000.0,2018-04-30T12:45:14.357000Z
25,1.2084000000000001,1.20844,1570000.0525,3259999.9905,2018-04-30T12:45:14.615000Z
26,1.20839,1.20843,2140000.1049,1759999.9905,2018-04-30T12:45:15.137000Z
27,1.2084000000000001,1.20843,1250000.0,1389999.9857,2018-04-30T12:45:15.669000Z
28,1.20841,1.20843,3000000.0,1000000.0,2018-04-30T12:45:16.180000Z
29,1.20841,1.20845,1299999.9523,3819999.9332,2018-04-30T12:45:16.690000Z
30,1.20841,1.20845,3490000.0095,1950000.0477,2018-04-30T12:45:16.793000Z
31,1.20841,1.20845,2359999.8951,1950000.0477,2018-04-30T12:45:17.343000Z
32,1.2084000000000001,1.20844,4760000.2289,6389999.8665,2018-04-30T12:45:17.745000Z
33,1.2084000000000001,1.20842,1450000.0477,2250000.0,2018-04-30T12:45:18.372000Z
34,1.20838,1.20841,4420000.0763,1000000.0,2018-04-30T12:45:18.479000Z
35,1.20839,1.20843,1200000.0477,5260000.2289,2018-04-30T12:45:18.937000Z
36,1.20839,1.20842,1100000.0238,2940000.0572,2018-04-30T12:45:19.478000Z
37,1.20838,1.20843,6110000.1335,3819999.9332,2018-04-30T12:45:20.024000Z
38,1.20839,1.20842,1570000.0525,1500000.0,2018-04-30T12:45:20.561000Z
39,1.20839,1.20843,1450000.0477,4199999.8093,2018-04-30T12:45:21.104000Z
40,1.20839,1.20842,1500000.0,1570000.0525,2018-04-30T12:45:22.033000Z
41,1.20838,1.20843,5920000.0763,4199999.8093,2018-04-30T12:45:22.589000Z
42,1.20839,1.20842,2250000.0,1570000.0525,2018-04-30T12:45:23.197000Z
43,1.20838,1.20843,6670000.0763,4949999.8093,2018-04-30T12:45:23.996000Z
44,1.20838,1.20843,5920000.0763,4199999.8093,2018-04-30T12:45:24.540000Z
45,1.2084000000000001,1.20842,2250000.0,1500000.0,2018-04-30T12:45:25.071000Z
46,1.20839,1.20843,2890000.1049,2700000.0477,2018-04-30T12:45:25.620000Z
47,1.20842,1.20843,1000000.0,1100000.0238,2018-04-30T12:45:26.014000Z
48,1.2084000000000001,1.20845,16049999.2371,4949999.8093,2018-04-30T12:45:26.117000Z
49,1.20843,1.20845,1000000.0,3000000.0,2018-04-30T12:45:26.170000Z
50,1.20841,1.20845,5920000.0763,3069999.9332,2018-04-30T12:45:26.324000Z
51,1.20841,1.20844,8140000.3433,1100000.0238,2018-04-30T12:45:26.836000Z
52,1.20842,1.20845,4199999.8093,1000000.0,2018-04-30T12:45:27.358000Z
53,1.20842,1.20846,3819999.9332,3069999.9332,2018-04-30T12:45:28.768000Z
54,1.20843,1.20845,1200000.0477,1000000.0,2018-04-30T12:45:29.376000Z
55,1.20842,1.20846,8550000.1907,1570000.0525,2018-04-30T12:45:29.895000Z
56,1.20843,1.20846,1200000.0477,1500000.0,2018-04-30T12:45:30.521000Z
57,1.20843,1.2084700000000002,1950000.0477,4199999.8093,2018-04-30T12:45:31.196000Z
58,1.20842,1.20846,10609999.6567,1000000.0,2018-04-30T12:45:31.739000Z
59,1.20843,1.2084700000000002,1070000.0525,1570000.0525,2018-04-30T12:45:32.246000Z
60,1.20843,1.2084700000000002,1200000.0477,3259999.9905,2018-04-30T12:45:32.766000Z
61,1.20842,1.2084700000000002,11359999.6567,2140000.1049,2018-04-30T12:45:34.431000Z
62,1.20843,1.2084700000000002,1100000.0238,1389999.9857,2018-04-30T12:45:38.520000Z
63,1.20843,1.2084700000000002,5320000.1717,7389999.8665,2018-04-30T12:45:39.107000Z
64,1.20843,1.20845,1100000.0238,1000000.0,2018-04-30T12:45:42.613000Z
65,1.20843,1.20846,1100000.0238,1250000.0,2018-04-30T12:45:43.155000Z
66,1.20841,1.20843,3069999.9332,1000000.0,2018-04-30T12:45:43.413000Z
67,1.20838,1.20842,2700000.0477,7570000.1717,2018-04-30T12:45:43.626000Z
68,1.20838,1.2084000000000001,2319999.9332,1500000.0,2018-04-30T12:45:43.687000Z
69,1.20838,1.20841,1120000.0048,3819999.9332,2018-04-30T12:45:44.222000Z
70,1.20838,1.2084000000000001,1120000.0048,1000000.0,2018-04-30T12:45:44.745000Z
71,1.20836,1.20839,5360000.1335,1000000.0,2018-04-30T12:45:45.531000Z
72,1.20836,1.20841,5360000.1335,1759999.9905,2018-04-30T12:45:45.685000Z
73,1.20836,1.20839,4989999.7711,1000000.0,2018-04-30T12:45:45.788000Z
74,1.2083700000000002,1.2084000000000001,4869999.8856,1100000.0238,2018-04-30T12:45:46.295000Z
75,1.20838,1.2084000000000001,1000000.0,1570000.0525,2018-04-30T12:45:46.844000Z
76,1.20839,1.20842,2140000.1049,1000000.0,2018-04-30T12:45:47.335000Z
77,1.20841,1.20844,1000000.0,6820000.1717,2018-04-30T12:45:48.972000Z
78,1.2084000000000001,1.20844,1309999.9428,5889999.8665,2018-04-30T12:45:49.499000Z
79,1.20839,1.20842,2619999.8856,1100000.0238,2018-04-30T12:45:50.011000Z
80,1.20839,1.20842,1389999.9857,1389999.9857,2018-04-30T12:45:52.496000Z
