,bid,ask,bid_vol,ask_vol,time
0,1.14436,1.1444100000000001,3000000.0,1250000.0,2018-12-28T13:45:01.671000Z
1,1.14437,1.1444100000000001,2250000.0,1000000.0,2018-12-28T13:45:01.826000Z
2,1.14437,1.1444200000000002,1500000.0,3750000.0,2018-12-28T13:45:02.364000Z
3,1.14437,1.1444200000000002,1500000.0,3809999.9428,2018-12-28T13:45:02.551000Z
4,1.14437,1.1444,1000000.0,1690000.0572,2018-12-28T13:45:02.668000Z
5,1.14438,1.1444200000000002,1000000.0,6219999.7902,2018-12-28T13:45:04.168000Z
6,1.14437,1.1444200000000002,3599999.9046,3599999.9046,2018-12-28T13:45:04.270000Z
7,1.14437,1.1444200000000002,2319999.9332,4860000.1335,2018-12-28T13:45:04.678000Z
8,1.14438,1.1444100000000001,1000000.0,1000000.0,2018-12-28T13:45:04.946000Z
9,1.14438,1.1444200000000002,1500000.0,1120000.0048,2018-12-28T13:45:05.049000Z
10,1.14439,1.14443,1250000.0,2750000.0,2018-12-28T13:45:05.152000Z
11,1.14438,1.14443,6000000.0,3500000.0,2018-12-28T13:45:05.255000Z
12,1.14439,1.14443,1000000.0,4250000.0,2018-12-28T13:45:05.680000Z
13,1.14438,1.14443,5250000.0,3500000.0,2018-12-28T13:45:05.782000Z
14,1.14439,1.14443,1000000.0,4809999.9428,2018-12-28T13:45:05.936000Z
15,1.14438,1.14443,4389999.8665,3119999.8856,2018-12-28T13:45:06.166000Z
16,1.14438,1.1444,2440000.0572,1000000.0,2018-12-28T13:45:06.568000Z
17,1.14435,1.14438,1000000.0,1120000.0048,2018-12-28T13:45:06.670000Z
18,1.14434,1.14438,1000000.0,1690000.0572,2018-12-28T13:45:06.773000Z
19,1.14433,1.14438,2509999.9905,1309999.9428,2018-12-28T13:45:06.977000Z
20,1.14433,1.14437,5440000.0572,1000000.0,2018-12-28T13:45:07.352000Z
21,1.14433,1.14438,3190000.0572,1690000.0572,2018-12-28T13:45:07.505000Z
22,1.14433,1.14437,5440000.0572,1000000.0,2018-12-28T13:45:07.615000Z
23,1.1443100000000002,1.14433,1000000.0,1000000.0,2018-12-28T13:45:07.666000Z
24,1.1443,1.14434,1000000.0,2809999.9428,2018-12-28T13:45:07.769000Z
25,1.1443,1.14434,3309999.9428,1120000.0048,2018-12-28T13:45:07.922000Z
26,1.14433,1.14435,1000000.0,1500000.0,2018-12-28T13:45:08.039000Z
27,1.14428,1.14429,1000000.0,1870000.0048,2018-12-28T13:45:08.143000Z
28,1.14426,1.1443,1000000.0,3869999.8856,2018-12-28T13:45:08.245000Z
29,1.14425,1.1443,6150000.0954,4809999.9428,2018-12-28T13:45:08.347000Z
30,1.14426,1.14429,3000000.0,4690000.0572,2018-12-28T13:45:08.501000Z
31,1.14424,1.14429,5320000.1717,1250000.0,2018-12-28T13:45:08.552000Z
32,1.14425,1.14429,1000000.0,2809999.9428,2018-12-28T13:45:08.654000Z
33,1.14424,1.14429,2250000.0,3190000.0572,2018-12-28T13:45:08.757000Z
34,1.14425,1.14429,1000000.0,10390000.3433,2018-12-28T13:45:08.859000Z
35,1.14424,1.14429,2319999.9332,5139999.8665,2018-12-28T13:45:08.960000Z
36,1.14424,1.14428,1000000.0,2000000.0,2018-12-28T13:45:09.410000Z
37,1.14423,1.14428,3599999.9046,2559999.9428,2018-12-28T13:45:09.512000Z
38,1.14423,1.1442700000000001,1970000.0286,1870000.0048,2018-12-28T13:45:09.661000Z
39,1.1442200000000002,1.1442700000000001,5360000.1335,1870000.0048,2018-12-28T13:45:09.763000Z
40,1.14423,1.1442700000000001,1200000.0477,2250000.0,2018-12-28T13:45:09.865000Z
41,1.14424,1.1442700000000001,1000000.0,1120000.0048,2018-12-28T13:45:10.380000Z
42,1.14423,1.1442700000000001,1000000.0,3190000.0572,2018-12-28T13:45:10.483000Z
43,1.1442200000000002,1.1442700000000001,6110000.1335,1870000.0048,2018-12-28T13:45:10.585000Z
44,1.14423,1.1442700000000001,1500000.0,2619999.8856,2018-12-28T13:45:10.891000Z
45,1.14423,1.1442700000000001,1870000.0048,2000000.0,2018-12-28T13:45:12.039000Z
46,1.14424,1.1442700000000001,1000000.0,1620000.0048,2018-12-28T13:45:12.582000Z
47,1.14423,1.1442700000000001,5289999.9619,1500000.0,2018-12-28T13:45:12.685000Z
48,1.14424,1.1442700000000001,1000000.0,1500000.0,2018-12-28T13:45:12.788000Z
49,1.14424,1.1442700000000001,2250000.0,1000000.0,2018-12-28T13:45:13.217000Z
50,1.14423,1.1442700000000001,4539999.9619,1000000.0,2018-12-28T13:45:13.815000Z
51,1.14424,1.1442700000000001,1000000.0,1000000.0,2018-12-28T13:45:14.093000Z
52,1.14423,1.1442700000000001,4539999.9619,1000000.0,2018-12-28T13:45:14.535000Z
53,1.14424,1.1442700000000001,1000000.0,1000000.0,2018-12-28T13:45:15.122000Z
54,1.14423,1.1442700000000001,3859999.8951,1000000.0,2018-12-28T13:45:15.454000Z
55,1.14424,1.1442700000000001,1000000.0,1120000.0048,2018-12-28T13:45:15.660000Z
56,1.14425,1.14428,1000000.0,2250000.0,2018-12-28T13:45:16.116000Z
57,1.14424,1.14428,4199999.8093,1500000.0,2018-12-28T13:45:16.984000Z
58,1.14425,1.14428,2250000.0,2250000.0,2018-12-28T13:45:17.717000Z
59,1.14424,1.14428,3750000.0,2059999.9428,2018-12-28T13:45:18.125000Z
60,1.14424,1.14428,3750000.0,2869999.8856,2018-12-28T13:45:18.254000Z
61,1.14424,1.14428,3750000.0,1120000.0048,2018-12-28T13:45:18.389000Z
62,1.14425,1.1443,6039999.9619,3819999.9332,2018-12-28T13:45:18.798000Z
63,1.14426,1.1443,1870000.0048,1120000.0048,2018-12-28T13:45:18.901000Z
64,1.14426,1.1443,3369999.8856,1120000.0048,2018-12-28T13:45:19.132000Z
65,1.14426,1.1443,5500000.0,1870000.0048,2018-12-28T13:45:19.234000Z
66,1.14426,1.1443,3369999.8856,1120000.0048,2018-12-28T13:45:19.336000Z
67,1.1442700000000001,1.1443100000000002,7909999.8474,1500000.0,2018-12-28T13:45:19.439000Z
68,1.1442700000000001,1.1443200000000002,13340000.1526,1200000.0477,2018-12-28T13:45:19.545000Z
69,1.1442700000000001,1.14433,12600000.3815,3259999.9905,2018-12-28T13:45:19.648000Z
70,1.1442700000000001,1.1443200000000002,11359999.6567,1000000.0,2018-12-28T13:45:19.750000Z
71,1.1442700000000001,1.14433,12039999.9619,1759999.9905,2018-12-28T13:45:19.852000Z
72,1.14428,1.14433,3039999.9619,3119999.8856,2018-12-28T13:45:19.954000Z
73,1.14428,1.14433,9479999.5422,1000000.0,2018-12-28T13:45:21.190000Z
74,1.14428,1.14433,3970000.0286,1309999.9428,2018-12-28T13:45:23.092000Z
75,1.14428,1.14433,3109999.8951,2119999.8856,2018-12-28T13:45:23.194000Z
76,1.14428,1.14433,4989999.7711,1000000.0,2018-12-28T13:45:23.835000Z
77,1.14429,1.14434,5559999.9428,3000000.0,2018-12-28T13:45:23.938000Z
78,1.1443100000000002,1.14435,3750000.0,2250000.0,2018-12-28T13:45:24.043000Z
79,1.1443100000000002,1.14436,1950000.0477,3450000.0477,2018-12-28T13:45:24.545000Z
80,1.1443100000000002,1.14435,2700000.0477,1000000.0,2018-12-28T13:45:24.654000Z
81,1.1443100000000002,1.14436,1570000.0525,2700000.0477,2018-12-28T13:45:24.756000Z
82,1.1443100000000002,1.14437,5469999.7902,13010000.2289,2018-12-28T13:45:24.983000Z
83,1.1443100000000002,1.14435,4420000.0763,1000000.0,2018-12-28T13:45:25.086000Z
84,1.1443100000000002,1.14436,2700000.0477,1200000.0477,2018-12-28T13:45:25.352000Z
85,1.1443,1.14433,2289999.9619,1000000.0,2018-12-28T13:45:25.455000Z
86,1.1443,1.14434,1000000.0,4500000.0,2018-12-28T13:45:25.814000Z
87,1.1443,1.14434,1500000.0,6440000.0572,2018-12-28T13:45:26.735000Z
88,1.1443200000000002,1.14435,5659999.8474,2700000.0477,2018-12-28T13:45:27.041000Z
89,1.1443200000000002,1.14436,2849999.9046,3250000.0,2018-12-28T13:45:27.144000Z
90,1.1443100000000002,1.14435,1000000.0,1690000.0572,2018-12-28T13:45:27.247000Z
91,1.1443,1.14435,9789999.9619,1250000.0,2018-12-28T13:45:27.370000Z
