,bid,ask,bid_vol,ask_vol,time
0,1.1743299999999999,1.1743700000000001,1120000.0048,6449999.8093,2018-07-31T12:45:00.061000Z
1,1.1743100000000002,1.1743299999999999,1500000.0,1000000.0,2018-07-31T12:45:00.336000Z
2,1.17428,1.1743100000000002,1000000.0,1000000.0,2018-07-31T12:45:00.491000Z
3,1.17426,1.17428,3039999.9619,3250000.0,2018-07-31T12:45:00.543000Z
4,1.1742299999999999,1.1742700000000001,1200000.0477,5619999.8856,2018-07-31T12:45:00.648000Z
5,1.17422,1.17426,5699999.8093,2890000.1049,2018-07-31T12:45:00.847000Z
6,1.17422,1.17426,2619999.8856,2250000.0,2018-07-31T12:45:01.548000Z
7,1.17419,1.17422,1000000.0,9069999.6948,2018-07-31T12:45:01.857000Z
8,1.1742100000000002,1.1742299999999999,1000000.0,1000000.0,2018-07-31T12:45:02.195000Z
9,1.17418,1.17422,3819999.9332,4119999.8856,2018-07-31T12:45:02.450000Z
10,1.17418,1.17422,1120000.0048,4570000.1717,2018-07-31T12:45:02.975000Z
11,1.17418,1.17422,1000000.0,7119999.8856,2018-07-31T12:45:03.495000Z
12,1.17418,1.1742100000000002,2250000.0,1000000.0,2018-07-31T12:45:04.396000Z
13,1.17419,1.1742299999999999,1500000.0,3069999.9332,2018-07-31T12:45:04.449000Z
14,1.17418,1.1742100000000002,2920000.0763,1000000.0,2018-07-31T12:45:04.630000Z
15,1.1741700000000002,1.1742100000000002,5889999.8665,1120000.0048,2018-07-31T12:45:04.682000Z
16,1.17418,1.1742100000000002,1000000.0,2440000.0572,2018-07-31T12:45:05.201000Z
17,1.1741700000000002,1.1742100000000002,2250000.0,1500000.0,2018-07-31T12:45:05.702000Z
18,1.17418,1.17422,1000000.0,4500000.0,2018-07-31T12:45:06.220000Z
19,1.17418,1.1742100000000002,1500000.0,1000000.0,2018-07-31T12:45:06.724000Z
20,1.17418,1.17419,1000000.0,1500000.0,2018-07-31T12:45:06.778000Z
21,1.17414,1.17418,2769999.9809,3450000.0477,2018-07-31T12:45:07.040000Z
22,1.17414,1.1741700000000002,2509999.9905,1500000.0,2018-07-31T12:45:07.562000Z
23,1.17416,1.17419,2660000.0858,1250000.0,2018-07-31T12:45:08.664000Z
24,1.17415,1.17419,4760000.2289,2250000.0,2018-07-31T12:45:09.201000Z
25,1.17415,1.1741700000000002,2700000.0477,1870000.0048,2018-07-31T12:45:09.622000Z
26,1.17412,1.17416,3450000.0477,5809999.9428,2018-07-31T12:45:09.676000Z
27,1.17413,1.17416,1750000.0,1870000.0048,2018-07-31T12:45:09.835000Z
28,1.17413,1.1741700000000002,1750000.0,6449999.8093,2018-07-31T12:45:10.755000Z
29,1.17416,1.17418,1120000.0048,3450000.0477,2018-07-31T12:45:11.381000Z
30,1.17414,1.1741700000000002,2319999.9332,1000000.0,2018-07-31T12:45:11.902000Z
31,1.17413,1.17418,2099999.9046,8319999.6948,2018-07-31T12:45:12.481000Z
32,1.17413,1.1741700000000002,4349999.9046,4690000.0572,2018-07-31T12:45:12.993000Z
33,1.17414,1.17418,3819999.9332,1580000.0429,2018-07-31T12:45:13.947000Z
34,1.17414,1.17416,1500000.0,1000000.0,2018-07-31T12:45:14.253000Z
