,bid,ask,bid_vol,ask_vol,time
0,1.16604,1.1660700000000002,1000000.0,4869999.8856,2018-06-29T12:45:00.795000Z
1,1.16603,1.1660700000000002,2619999.8856,4869999.8856,2018-06-29T12:45:01.299000Z
2,1.16603,1.1660700000000002,5250000.0,6559999.9428,2018-06-29T12:45:02.785000Z
3,1.16603,1.1660700000000002,3369999.8856,6369999.8856,2018-06-29T12:45:03.325000Z
4,1.16602,1.16605,4199999.8093,4119999.8856,2018-06-29T12:45:04.365000Z
5,1.16601,1.16605,3450000.0477,8319999.6948,2018-06-29T12:45:04.882000Z
6,1.16601,1.16605,2569999.9332,3819999.9332,2018-06-29T12:45:05.432000Z
7,1.1660000000000001,1.16604,3069999.9332,1200000.0477,2018-06-29T12:45:06.168000Z
8,1.16603,1.16605,1000000.0,1100000.0238,2018-06-29T12:45:06.526000Z
9,1.16603,1.16608,1500000.0,4199999.8093,2018-06-29T12:45:06.680000Z
10,1.16602,1.16606,10390000.3433,1500000.0,2018-06-29T12:45:07.377000Z
11,1.16602,1.16603,1000000.0,1500000.0,2018-06-29T12:45:07.587000Z
12,1.16599,1.16603,7949999.8093,1500000.0,2018-06-29T12:45:07.857000Z
13,1.16602,1.16605,1000000.0,1100000.0238,2018-06-29T12:45:08.168000Z
14,1.16603,1.1660700000000002,2700000.0477,8039999.9619,2018-06-29T12:45:08.221000Z
15,1.16602,1.16605,6070000.1717,1000000.0,2018-06-29T12:45:08.413000Z
16,1.16604,1.1660700000000002,2250000.0,1000000.0,2018-06-29T12:45:08.727000Z
17,1.16604,1.1660700000000002,1870000.0048,1000000.0,2018-06-29T12:45:09.251000Z
18,1.16605,1.1660700000000002,1000000.0,1000000.0,2018-06-29T12:45:09.829000Z
19,1.16604,1.1660700000000002,2250000.0,1000000.0,2018-06-29T12:45:10.406000Z
20,1.16605,1.16608,1500000.0,4570000.1717,2018-06-29T12:45:10.910000Z
21,1.16608,1.1661000000000001,4500000.0,3069999.9332,2018-06-29T12:45:11.273000Z
22,1.16609,1.16612,3000000.0,3000000.0,2018-06-29T12:45:11.862000Z
23,1.16606,1.1661100000000002,4690000.0572,4199999.8093,2018-06-29T12:45:12.394000Z
24,1.16609,1.16612,2250000.0,3000000.0,2018-06-29T12:45:12.553000Z
25,1.1661100000000002,1.1661299999999999,3190000.0572,1100000.0238,2018-06-29T12:45:12.940000Z
26,1.1661299999999999,1.16615,1250000.0,1500000.0,2018-06-29T12:45:12.999000Z
27,1.16612,1.16614,3000000.0,1000000.0,2018-06-29T12:45:13.611000Z
28,1.16614,1.16616,1500000.0,1200000.0477,2018-06-29T12:45:14.124000Z
29,1.1661299999999999,1.1661700000000002,2890000.1049,1500000.0,2018-06-29T12:45:14.970000Z
30,1.1661299999999999,1.16615,3450000.0477,2250000.0,2018-06-29T12:45:15.126000Z
31,1.1660700000000002,1.16612,1950000.0477,6219999.7902,2018-06-29T12:45:15.283000Z
32,1.16606,1.1661100000000002,6070000.1717,1500000.0,2018-06-29T12:45:15.342000Z
33,1.16606,1.16609,5699999.8093,1870000.0048,2018-06-29T12:45:15.453000Z
34,1.16603,1.1660700000000002,3380000.1144,1120000.0048,2018-06-29T12:45:15.679000Z
35,1.16603,1.1660700000000002,10569999.6948,1500000.0,2018-06-29T12:45:16.287000Z
36,1.16602,1.16604,1100000.0238,1500000.0,2018-06-29T12:45:18.908000Z
37,1.1660000000000001,1.16603,3940000.0572,1000000.0,2018-06-29T12:45:19.025000Z
38,1.16601,1.16603,1000000.0,2250000.0,2018-06-29T12:45:19.542000Z
