,ask,ask,ask,ask,bid,bid,bid,bid,bid_vol,ask_vol,tick_count
,open,high,low,close,open,high,low,close,bid_vol,ask_vol,tick_count
2019-01-01 22:00:00+00:00,1.14682,1.14691,1.14636,1.14667,1.14598,1.14672,1.14598,1.14608,333.35000029206276,283.7799989581108,273
2019-01-01 22:15:00+00:00,1.14669,1.14675,1.14636,1.1466,1.14607,1.14617,1.14604,1.14611,335.0699999332428,210.71999895572665,282
2019-01-01 22:30:00+00:00,1.14662,1.14674,1.14626,1.14643,1.14611,1.14635,1.14603,1.14625,533.519999563694,306.77999997138977,350
2019-01-01 22:45:00+00:00,1.14643,1.14675,1.1463,1.14641,1.14627,1.14643,1.14602,1.14606,1152.3699952960014,911.6099861860275,664
2019-01-01 23:00:00+00:00,1.14643,1.14686,1.14611,1.14662,1.14605,1.14669,1.14566,1.14655,2770.879992440343,2306.679996520281,1632
2019-01-01 23:15:00+00:00,1.14663,1.14683,1.14657,1.14669,1.14656,1.14676,1.14649,1.14663,3285.189986348152,3602.279986977577,1384
2019-01-01 23:30:00+00:00,1.14669,1.14673,1.14651,1.14655,1.14663,1.14669,1.14646,1.1465,1652.94999396801,1896.3999975919724,733
2019-01-01 23:45:00+00:00,1.14655,1.14655,1.14614,1.14616,1.14649,1.1465,1.1461,1.14612,1755.5699862241745,1565.1499930620193,682
2019-01-02 00:00:00+00:00,1.14616,1.1463,1.14578,1.14626,1.14612,1.14626,1.14573,1.14622,2082.5499960184097,2498.19999730587,969
2019-01-02 00:15:00+00:00,1.14627,1.14628,1.14578,1.14583,1.14622,1.14624,1.14573,1.14579,1747.0900021791458,2645.999990940094,757
2019-01-02 00:30:00+00:00,1.14582,1.14591,1.14547,1.14563,1.14578,1.14587,1.14543,1.14559,2140.5099976062775,2098.9999955892563,846
2019-01-02 00:45:00+00:00,1.14563,1.14566,1.14557,1.14566,1.14558,1.14564,1.14553,1.14561,1181.2900006771088,1608.9899928569794,540
2019-01-02 01:00:00+00:00,1.14566,1.14566,1.14505,1.14516,1.14561,1.14563,1.14501,1.14511,3344.589997291565,3513.3599976301193,1341
2019-01-02 01:15:00+00:00,1.14517,1.14552,1.14517,1.14526,1.14512,1.14549,1.14512,1.14523,1960.239997625351,1984.4399952888489,750
2019-01-02 01:30:00+00:00,1.14526,1.14542,1.14518,1.14541,1.14522,1.14537,1.14514,1.14536,2555.029997944832,2244.6099965572357,930
2019-01-02 01:45:00+00:00,1.14543,1.14543,1.14462,1.14526,1.14538,1.14538,1.14457,1.14521,3551.7999935150146,4127.879998683929,1503
2019-01-02 02:00:00+00:00,1.14525,1.14537,1.14509,1.14536,1.14521,1.14533,1.14505,1.14532,4154.749992609024,3947.5099869966507,1434
2019-01-02 02:15:00+00:00,1.14534,1.14536,1.14475,1.1449,1.1453,1.14532,1.1447,1.14485,4560.399991869926,5025.889996886253,1696
2019-01-02 02:30:00+00:00,1.14489,1.1451,1.14445,1.1445,1.14485,1.14507,1.14443,1.14449,3492.399987101555,3233.7599930763245,1260
2019-01-02 02:45:00+00:00,1.1445,1.14459,1.14431,1.14459,1.14447,1.14457,1.14426,1.14456,2480.919993877411,2097.4700016975403,785
2019-01-02 03:00:00+00:00,1.14458,1.14466,1.1445,1.14457,1.14456,1.14461,1.14446,1.14452,2359.069994330406,1595.9100006818771,626
2019-01-02 03:15:00+00:00,1.14456,1.14483,1.14456,1.14478,1.14452,1.14479,1.14451,1.14475,1098.0199942588806,1580.0300033092499,496
2019-01-02 03:30:00+00:00,1.14479,1.14489,1.14462,1.14468,1.14475,1.14487,1.14459,1.14464,1043.5599958896637,1876.2299993038177,572
2019-01-02 03:45:00+00:00,1.14468,1.14475,1.1445,1.1446,1.14464,1.14471,1.14446,1.14457,1486.4499943256378,1572.8899992704394,536
2019-01-02 04:00:00+00:00,1.14462,1.14465,1.14443,1.14448,1.14456,1.14462,1.14438,1.14444,2376.669994354248,1808.0899930000305,712
2019-01-02 04:15:00+00:00,1.14448,1.14469,1.1444,1.1445,1.14444,1.14465,1.14437,1.14446,1877.0499937534332,1875.4200007915497,709
2019-01-02 04:30:00+00:00,1.1445,1.14473,1.1443,1.14465,1.14446,1.14468,1.14426,1.14459,2428.86000084877,2528.73998939991,834
2019-01-02 04:45:00+00:00,1.14464,1.14464,1.14448,1.14454,1.14459,1.14459,1.14443,1.14449,1374.1099963188171,1323.559996843338,500
2019-01-02 05:00:00+00:00,1.14454,1.14486,1.14453,1.14484,1.1445,1.14482,1.14449,1.14479,2380.239997625351,2398.5699968338013,763
2019-01-02 05:15:00+00:00,1.14484,1.14584,1.14479,1.14582,1.14479,1.14581,1.14475,1.14577,3063.499995827675,2737.709993958473,1067
2019-01-02 05:30:00+00:00,1.1458,1.14701,1.14578,1.14697,1.14578,1.14697,1.14574,1.14693,3742.260002374649,3348.919992402196,1344
2019-01-02 05:45:00+00:00,1.14697,1.1479,1.14686,1.14783,1.14694,1.14788,1.14682,1.1478,3433.780002474785,3510.039994120598,1370
2019-01-02 06:00:00+00:00,1.14783,1.1497,1.14773,1.14896,1.14779,1.14967,1.14769,1.14893,4506.5200045108795,5249.409983634951,2180
2019-01-02 06:15:00+00:00,1.14896,1.14971,1.14894,1.14944,1.14894,1.14967,1.14892,1.14941,3523.9799934625626,3294.7099945545197,1433
