,ask,ask,ask,ask,bid,bid,bid,bid,bid_vol,ask_vol,tick_count
2019-01-02 06:30:00+00:00,1.14946,1.14947,1.1488,1.1491,1.14943,1.14944,1.14876,1.14907,3260.799994945526,3395.1799939870834,1231
2019-01-02 06:45:00+00:00,1.1491,1.14936,1.14825,1.14858,1.14906,1.14932,1.14821,1.14852,3482.710000395775,2785.0099964141846,1377
2019-01-02 07:00:00+00:00,1.14857,1.14933,1.14829,1.14878,1.14851,1.14931,1.14825,1.14874,4629.499994397163,4747.449986100197,1774
2019-01-02 07:15:00+00:00,1.14876,1.14899,1.1482,1.14835,1.14873,1.14896,1.14819,1.14832,4813.060005664825,4687.8199816942215,1951
2019-01-02 07:30:00+00:00,1.14834,1.14851,1.14786,1.148,1.14832,1.14847,1.14783,1.14796,5729.089991092682,5417.299999833107,2229
2019-01-02 07:45:00+00:00,1.14798,1.1482,1.14739,1.14768,1.14797,1.14817,1.14737,1.14766,5256.939994454384,5218.789979219437,2017
2019-01-02 08:00:00+00:00,1.14757,1.14784,1.14607,1.14624,1.14744,1.1478,1.14604,1.14622,8429.459998965263,8517.08997964859,3317
2019-01-02 08:15:00+00:00,1.14624,1.14624,1.14497,1.14535,1.14621,1.14621,1.14494,1.14532,9245.479994416237,10367.389968633652,3848
2019-01-02 08:30:00+00:00,1.14534,1.14536,1.1429,1.14421,1.14532,1.14532,1.14286,1.14416,9092.809988617897,9914.349992156029,4273
2019-01-02 08:45:00+00:00,1.14421,1.14489,1.1438,1.14484,1.14416,1.14485,1.14377,1.1448,6977.239985823631,6565.459991693497,2848
2019-01-02 09:00:00+00:00,1.14484,1.145,1.14383,1.14445,1.1448,1.14496,1.14381,1.14442,7941.609987258911,8079.589995265007,3248
2019-01-02 09:15:00+00:00,1.14442,1.14467,1.1436,1.14376,1.1444,1.14463,1.14356,1.14371,6809.829983711243,7218.099985361099,2782
2019-01-02 09:30:00+00:00,1.14376,1.14423,1.14224,1.14277,1.14371,1.14419,1.14221,1.14273,6834.279997944832,7673.429993748665,3063
2019-01-02 09:45:00+00:00,1.14277,1.14348,1.14252,1.14344,1.14273,1.14345,1.14248,1.1434,6642.649975657463,7295.879994869232,2744
2019-01-02 10:00:00+00:00,1.14343,1.14381,1.14323,1.14362,1.14341,1.14378,1.1432,1.14358,7931.719973921776,8385.659979462624,3062
2019-01-02 10:15:00+00:00,1.1436,1.14383,1.14332,1.14377,1.14358,1.1438,1.14328,1.14374,6392.189984679222,6582.279991984367,2340
2019-01-02 10:30:00+00:00,1.14376,1.1442,1.14357,1.14386,1.14373,1.14418,1.14354,1.14384,5044.389976978302,4999.279997706413,1947
2019-01-02 10:45:00+00:00,1.14387,1.14417,1.14356,1.14372,1.14383,1.14415,1.14353,1.14368,5504.619990706444,5467.519995689392,2172
2019-01-02 11:00:00+00:00,1.14372,1.14392,1.14257,1.14259,1.14369,1.14389,1.14254,1.14256,6814.639993548393,5940.579984426498,2516
2019-01-02 11:15:00+00:00,1.14259,1.14358,1.14248,1.14336,1.14255,1.14355,1.14246,1.14333,5431.009984493256,4846.489993095398,2091
2019-01-02 11:30:00+00:00,1.14336,1.14379,1.14322,1.14348,1.14332,1.14376,1.14318,1.14343,4690.119987726212,4050.069989800453,1758
2019-01-02 11:45:00+00:00,1.14347,1.1438,1.14324,1.14341,1.14344,1.14377,1.1432,1.14336,5158.539995551109,4169.639979481697,1831
2019-01-02 12:00:00+00:00,1.14341,1.14343,1.14254,1.14293,1.14336,1.1434,1.1425,1.14289,4283.789995193481,4203.24998486042,1701
2019-01-02 12:15:00+00:00,1.14292,1.14292,1.14027,1.14032,1.14288,1.14288,1.14022,1.14031,6225.429981231689,6770.849984169006,2644
2019-01-02 12:30:00+00:00,1.1403,1.14111,1.13981,1.14076,1.14029,1.14109,1.13979,1.14074,6609.229992985725,7249.559991002083,2829
2019-01-02 12:45:00+00:00,1.14077,1.14091,1.14035,1.14053,1.14074,1.14089,1.14033,1.14051,5552.58998799324,5784.439980506897,2127
2019-01-02 13:00:00+00:00,1.1405,1.14058,1.1397,1.13974,1.14049,1.14055,1.13966,1.13971,6797.329998135567,8030.729991078377,2885
2019-01-02 13:15:00+00:00,1.13975,1.14035,1.13803,1.13814,1.13971,1.14033,1.13799,1.1381,8812.4599827528,9358.909992456436,3644
2019-01-02 13:30:00+00:00,1.13815,1.13874,1.13769,1.13819,1.1381,1.13872,1.13765,1.13814,9230.35000860691,8372.609984993935,3712
2019-01-02 13:45:00+00:00,1.13817,1.13821,1.13676,1.1372,1.13814,1.13818,1.13674,1.13716,9789.919987559319,9154.489979624748,3836
2019-01-02 14:00:00+00:00,1.13719,1.13755,1.13687,1.13741,1.13716,1.13752,1.13684,1.13738,8686.099992632866,8599.869992733002,3580
2019-01-02 14:15:00+00:00,1.1374,1.13741,1.1364,1.13685,1.13738,1.13738,1.13636,1.13681,8272.719982504845,8439.909979462624,3236
2019-01-02 14:30:00+00:00,1.13685,1.13712,1.13663,1.13674,1.13682,1.13711,1.13661,1.13669,8411.729977846146,8291.259992480278,3146
2019-01-02 14:45:00+00:00,1.13673,1.13736,1.13582,1.13609,1.13669,1.13732,1.1358,1.13607,8904.54997575283,9587.189994096756,3586
2019-01-02 15:00:00+00:00,1.13612,1.13699,1.13582,1.13688,1.13609,1.13696,1.1358,1.13685,9306.909960865974,8178.389977455139,3509
2019-01-02 15:15:00+00:00,1.13689,1.1369,1.13523,1.13575,1.13687,1.13687,1.13521,1.13571,9657.089979052544,9308.549981713295,3781
2019-01-02 15:30:00+00:00,1.13575,1.136,1.13421,1.13519,1.13572,1.13597,1.13419,1.13515,6663.86999297142,7156.809992194176,3203
2019-01-02 15:45:00+00:00,1.13519,1.13579,1.13502,1.13538,1.13517,1.13575,1.13501,1.13535,5666.509982466698,5991.819991707802,2614
2019-01-02 16:00:00+00:00,1.13539,1.13623,1.13527,1.13594,1.13535,1.13621,1.13523,1.13591,6007.489992380142,5700.319991230965,2665
2019-01-02 16:15:00+00:00,1.13593,1.136,1.1353,1.13551,1.13591,1.13598,1.13527,1.13549,4570.95999610424,4225.359984755516,1878
2019-01-02 16:30:00+00:00,1.13551,1.13597,1.1349,1.13508,1.13548,1.13595,1.13487,1.13504,5050.909983515739,5268.4099950790405,2178
2019-01-02 16:45:00+00:00,1.13508,1.13589,1.13507,1.13568,1.13504,1.13588,1.13504,1.13563,5914.689981937408,5317.429985880852,2247
2019-01-02 17:00:00+00:00,1.13568,1.13572,1.13468,1.13502,1.13563,1.1357,1.13464,1.13499,5725.329990506172,5559.549985527992,2332
2019-01-02 17:15:00+00:00,1.13502,1.13518,1.13355,1.13473,1.13498,1.13515,1.13353,1.1347,6324.179977416992,6036.639986276627,2562
2019-01-02 17:30:00+00:00,1.13475,1.1351,1.13336,1.13368,1.13472,1.13508,1.13333,1.13364,4667.239987373352,5419.059987902641,2180
2019-01-02 17:45:00+00:00,1.13368,1.13393,1.13315,1.13355,1.13364,1.13389,1.13313,1.13352,5358.689989805222,5335.85998249054,2211
2019-01-02 18:00:00+00:00,1.13355,1.13365,1.13262,1.13307,1.13351,1.13362,1.1326,1.13304,4814.659985542297,4418.029989004135,1899
2019-01-02 18:15:00+00:00,1.13307,1.13349,1.13284,1.13304,1.13305,1.13346,1.13281,1.13301,4139.939986467361,4212.429986476898,1661
2019-01-02 18:30:00+00:00,1.13303,1.13307,1.13274,1.1328,1.13301,1.13304,1.13272,1.13276,4487.219988226891,4264.029991030693,1831
2019-01-02 18:45:00+00:00,1.13281,1.13309,1.1328,1.13281,1.13276,1.13306,1.13276,1.13278,4228.879985570908,4041.7199960947037,1601
2019-01-02 19:00:00+00:00,1.13282,1.1332,1.13253,1.13315,1.13278,1.13317,1.1325,1.13312,3399.259987592697,3538.840000271797,1545
2019-01-02 19:15:00+00:00,1.13316,1.13399,1.13294,1.13374,1.13314,1.13396,1.1329,1.13371,4956.249995470047,4934.929977297783,1867
2019-01-02 19:30:00+00:00,1.13373,1.13386,1.13354,1.13384,1.1337,1.13382,1.13351,1.1338,3292.5399954319,3872.699986577034,1486
2019-01-02 19:45:00+00:00,1.13382,1.13444,1.13372,1.13439,1.1338,1.13441,1.1337,1.13434,4044.37999689579,5167.249991416931,1963
2019-01-02 20:00:00+00:00,1.13439,1.13446,1.13408,1.13416,1.13436,1.13442,1.13404,1.1341,5059.8699831962585,5616.879984378815,2156
2019-01-02 20:15:00+00:00,1.13415,1.13465,1.13408,1.13455,1.1341,1.13461,1.13404,1.13451,6286.0999747514725,6274.499980926514,2322
2019-01-02 20:30:00+00:00,1.13454,1.13479,1.13438,1.13461,1.13451,1.13475,1.13435,1.13457,4811.839984059334,5684.849979996681,1956
2019-01-02 20:45:00+00:00,1.13461,1.13479,1.13446,1.13458,1.13457,1.13476,1.13444,1.13455,4474.129982948303,4040.7299830317497,1668
2019-01-02 21:00:00+00:00,1.13459,1.1346,1.13404,1.13439,1.13455,1.13456,1.134,1.13433,2186.4899915903807,1829.1299926266074,929
2019-01-02 21:15:00+00:00,1.13438,1.13439,1.13409,1.1342,1.13433,1.13437,1.13407,1.13416,1314.4899951219559,1351.4299992322922,553
2019-01-02 21:30:00+00:00,1.13421,1.13478,1.13415,1.13456,1.13415,1.13474,1.1341,1.1345,2212.1199893951416,2117.079988308251,964
2019-01-02 21:45:00+00:00,1.13455,1.1348,1.13427,1.13456,1.13452,1.13477,1.1342,1.13432,1991.0799939632416,1886.9199947714806,1057
2019-01-02 22:00:00+00:00,1.13456,1.13479,1.1344,1.13449,1.13423,1.13468,1.13415,1.13435,1012.4500024020672,1079.4999998509884,725
2019-01-02 22:15:00+00:00,1.13447,1.13472,1.13344,1.13356,1.13432,1.1346,1.13307,1.13338,1950.7899982631207,1915.6300001740456,1356
2019-01-02 22:30:00+00:00,1.13356,1.13437,1.13169,1.13284,1.13339,1.13365,1.1314,1.13245,2447.43000035733,2632.7599963620305,2247
2019-01-02 22:45:00+00:00,1.1328,1.13614,1.13195,1.1349,1.13241,1.13541,1.13104,1.13359,2969.490007303655,2607.619998909533,2516
2019-01-02 23:00:00+00:00,1.13491,1.13526,1.13341,1.13465,1.13359,1.13513,1.13309,1.13453,5258.340010344982,5148.86001265049,3300
2019-01-02 23:15:00+00:00,1.13465,1.13466,1.13332,1.13396,1.13451,1.13456,1.13323,1.13394,2947.040001988411,2545.970004796982,1482
2019-01-02 23:30:00+00:00,1.13401,1.13444,1.13319,1.1335,1.13396,1.13437,1.13309,1.13346,2682.309996366501,1758.7300001382828,1252
2019-01-02 23:45:00+00:00,1.1335,1.13351,1.13098,1.13129,1.13348,1.13348,1.13092,1.13121,3929.1500041484833,3393.810006737709,1982
2019-01-03 00:00:00+00:00,1.13129,1.13377,1.13104,1.13372,1.13122,1.13372,1.13099,1.13365,3674.2100085020065,3363.46000957489,1851
2019-01-03 00:15:00+00:00,1.13372,1.13429,1.13353,1.1342,1.13364,1.13424,1.13348,1.13415,3007.3700075149536,2773.110007047653,1375
2019-01-03 00:30:00+00:00,1.1342,1.13435,1.13373,1.13395,1.13416,1.1343,1.13369,1.13391,3700.2900116443634,3435.00000166893,1751
2019-01-03 00:45:00+00:00,1.13396,1.1347,1.1339,1.134,1.13391,1.13467,1.13384,1.13397,3629.419997215271,3748.289999604225,1668
2019-01-03 01:00:00+00:00,1.134,1.13477,1.134,1.13475,1.13396,1.13472,1.13396,1.1347,4891.019996404648,4821.389995217322,2044
2019-01-03 01:15:00+00:00,1.13473,1.13486,1.1342,1.13486,1.1347,1.13483,1.13415,1.13481,4731.190002441406,4454.680000424385,1920
2019-01-03 01:30:00+00:00,1.13485,1.13529,1.13433,1.1348,1.1348,1.13525,1.13431,1.13476,4537.840000033379,4481.059998750687,1979
2019-01-03 01:45:00+00:00,1.1348,1.13509,1.13449,1.13486,1.13476,1.13505,1.13446,1.13484,3799.9499995708466,4424.449988126755,1783
2019-01-03 02:00:00+00:00,1.13488,1.13506,1.13474,1.13484,1.13483,1.13503,1.13471,1.13479,3815.209991455078,2826.9799947738647,1421
2019-01-03 02:15:00+00:00,1.13483,1.13555,1.13464,1.13552,1.13479,1.13553,1.13459,1.1355,2450.4599982500076,2881.249991297722,1198
2019-01-03 02:30:00+00:00,1.13554,1.13597,1.13548,1.13585,1.1355,1.13594,1.13546,1.13581,5508.079992413521,4969.22999727726,2246
2019-01-03 02:45:00+00:00,1.13585,1.13619,1.13573,1.13585,1.13582,1.13615,1.13568,1.13581,5452.069994568825,4554.679999113083,2089
2019-01-03 03:00:00+00:00,1.13586,1.13627,1.13572,1.13622,1.13581,1.13624,1.13567,1.13617,5007.429999232292,3404.7500010728836,1498
2019-01-03 03:15:00+00:00,1.13621,1.13701,1.13616,1.13688,1.13618,1.13698,1.13613,1.13683,3433.0700101852417,3272.7300033569336,1645
2019-01-03 03:30:00+00:00,1.13688,1.13719,1.13668,1.13692,1.13684,1.13715,1.13665,1.13687,3697.9800032377243,4020.870007634163,1781
2019-01-03 03:45:00+00:00,1.13692,1.13697,1.13639,1.13652,1.13687,1.13692,1.13635,1.13648,2632.230001091957,2401.520004630089,1091
2019-01-03 04:00:00+00:00,1.13651,1.13652,1.13609,1.13642,1.13648,1.13648,1.13603,1.13637,3073.9800000190735,2660.5400025844574,1260
2019-01-03 04:15:00+00:00,1.13642,1.13663,1.13634,1.13642,1.13637,1.13659,1.13629,1.13637,1545.3099987506866,1339.0200021266937,613
2019-01-03 04:30:00+00:00,1.1364,1.13673,1.1364,1.13662,1.13637,1.13668,1.13636,1.13658,1977.9000022411346,1810.1399980783463,818
2019-01-03 04:45:00+00:00,1.13663,1.13683,1.13655,1.13675,1.13658,1.13678,1.13651,1.13672,1770.7000032663345,1532.9399988651276,723
2019-01-03 05:00:00+00:00,1.13675,1.137,1.13661,1.13678,1.13672,1.13698,1.13656,1.13673,2735.5199978351593,2250.8199931383133,1090
2019-01-03 05:15:00+00:00,1.13678,1.13702,1.13618,1.13628,1.13674,1.13697,1.13614,1.13622,4732.140000581741,3867.829999089241,1792
2019-01-03 05:30:00+00:00,1.13627,1.13653,1.13593,1.13602,1.13622,1.13649,1.13588,1.13598,4831.409998297691,4631.560001373291,1968
2019-01-03 05:45:00+00:00,1.13603,1.13617,1.13573,1.13613,1.13598,1.13613,1.13569,1.13609,3221.460001349449,3004.120004296303,1377
2019-01-03 06:00:00+00:00,1.13613,1.13639,1.13553,1.13593,1.13608,1.13634,1.13548,1.13589,3845.149993658066,3861.070001602173,1573
2019-01-03 06:15:00+00:00,1.13592,1.13661,1.13572,1.13644,1.13589,1.13657,1.13568,1.13639,4311.2000069618225,3849.570000886917,1788
2019-01-03 06:30:00+00:00,1.13644,1.13686,1.13635,1.13679,1.13641,1.13683,1.1363,1.13676,2707.0500054359436,3553.4600013494496,1529
2019-01-03 06:45:00+00:00,1.13678,1.13768,1.13632,1.13727,1.13676,1.13765,1.13627,1.13722,3494.4100106954575,3911.0100033283234,1698
2019-01-03 07:00:00+00:00,1.13726,1.13772,1.13661,1.13684,1.13722,1.13768,1.13657,1.1368,5954.810000181198,5447.9499925374985,2553
2019-01-03 07:15:00+00:00,1.13686,1.13729,1.13623,1.13723,1.13682,1.13726,1.13619,1.13721,6683.899994969368,6447.66997718811,2697
2019-01-03 07:30:00+00:00,1.13726,1.13747,1.13682,1.13732,1.13722,1.13743,1.13679,1.13729,7051.74999153614,6419.009986639023,2762
2019-01-03 07:45:00+00:00,1.13731,1.13765,1.13619,1.13699,1.13729,1.13763,1.13616,1.13696,6834.1699895858765,6576.369986653328,2786
2019-01-03 08:00:00+00:00,1.137,1.13765,1.13543,1.13588,1.13696,1.13761,1.1354,1.13584,8673.909987092018,8350.389990925789,3966
2019-01-03 08:15:00+00:00,1.13585,1.13794,1.1356,1.13785,1.13582,1.1379,1.13557,1.1378,7673.709987401962,7784.14999461174,3436
2019-01-03 08:30:00+00:00,1.13785,1.13841,1.13708,1.13793,1.13783,1.13838,1.13705,1.1379,6190.749993443489,7141.959996581078,3139
2019-01-03 08:45:00+00:00,1.13793,1.13839,1.13761,1.13804,1.13789,1.13838,1.13758,1.138,6094.609991192818,5863.539997935295,2553
2019-01-03 09:00:00+00:00,1.13803,1.13828,1.13732,1.13807,1.138,1.13826,1.13728,1.13804,5737.069997906685,6041.2999901771545,2477
2019-01-03 09:15:00+00:00,1.13806,1.13825,1.13749,1.13792,1.13804,1.13824,1.13747,1.13788,5744.029990673065,5545.489988684654,2238
2019-01-03 09:30:00+00:00,1.13791,1.13841,1.13746,1.13828,1.13789,1.13839,1.13742,1.13824,5772.1299875974655,6056.8299959897995,2332
2019-01-03 09:45:00+00:00,1.13828,1.13838,1.13751,1.1376,1.13824,1.13835,1.13748,1.13757,5686.889990925789,5678.929991722107,2268
2019-01-03 10:00:00+00:00,1.13761,1.13796,1.13658,1.137,1.13757,1.13794,1.13653,1.13696,6539.739985108376,6112.879990577698,2479
2019-01-03 10:15:00+00:00,1.13701,1.13724,1.13674,1.1371,1.13696,1.13721,1.13671,1.13708,4566.399990439415,5671.189976334572,2034
2019-01-03 10:30:00+00:00,1.13712,1.13742,1.13637,1.13701,1.13708,1.13738,1.13633,1.13698,5323.969999670982,4817.809985756874,2019
2019-01-03 10:45:00+00:00,1.13701,1.13745,1.13665,1.13684,1.13699,1.13742,1.13662,1.13682,5955.399980306625,6103.450001835823,2409
2019-01-03 11:00:00+00:00,1.13685,1.13719,1.13513,1.13568,1.13682,1.13717,1.13509,1.13564,6862.699988365173,7137.690000653267,2829
2019-01-03 11:15:00+00:00,1.13568,1.13626,1.13512,1.13547,1.13565,1.13622,1.1351,1.13544,5982.590001940727,6141.959988832474,2511
2019-01-03 11:30:00+00:00,1.13547,1.13601,1.13493,1.13499,1.13545,1.13597,1.13491,1.13496,4026.340000271797,4647.58000087738,1805
2019-01-03 11:45:00+00:00,1.13499,1.13516,1.13406,1.13417,1.13495,1.13514,1.13403,1.13414,5369.169990301132,5477.829994916916,2156
2019-01-03 12:00:00+00:00,1.13416,1.13481,1.13398,1.13438,1.13414,1.13479,1.13394,1.13435,4968.039988517761,4946.200000047684,2038
2019-01-03 12:15:00+00:00,1.13439,1.13493,1.13426,1.13485,1.13435,1.13491,1.13423,1.13481,4525.679999709129,4912.199992060661,1800
2019-01-03 12:30:00+00:00,1.13484,1.13556,1.13474,1.13535,1.13481,1.13553,1.13471,1.13532,4159.209995627403,4856.329996228218,1846
2019-01-03 12:45:00+00:00,1.13536,1.13552,1.13433,1.13436,1.13533,1.1355,1.1343,1.13435,5674.079999089241,5054.91999733448,2140
2019-01-03 13:00:00+00:00,1.13436,1.13504,1.13436,1.13486,1.13433,1.13501,1.13433,1.13477,4924.71998500824,5217.69000017643,2071
2019-01-03 13:15:00+00:00,1.1348,1.13546,1.13378,1.13508,1.13477,1.13539,1.13374,1.13503,8279.689998149872,8058.329990983009,3626
2019-01-03 13:30:00+00:00,1.13506,1.1365,1.13505,1.13575,1.13502,1.13648,1.13501,1.13571,6929.339990973473,6623.449991822243,2859
2019-01-03 13:45:00+00:00,1.13575,1.13672,1.13566,1.13658,1.13571,1.13669,1.13564,1.13654,6198.799989819527,5667.949992775917,2472
2019-01-03 14:00:00+00:00,1.13656,1.1371,1.1365,1.13685,1.13654,1.13706,1.13646,1.13682,7256.1699858903885,7122.859985470772,2789
2019-01-03 14:15:00+00:00,1.13684,1.13726,1.13629,1.13662,1.13681,1.13723,1.13626,1.13658,7194.829980254173,6764.519996881485,2809
2019-01-03 14:30:00+00:00,1.13662,1.13707,1.13637,1.13659,1.13657,1.13704,1.13634,1.13655,9043.569992423058,8509.640003323555,3608
2019-01-03 14:45:00+00:00,1.13659,1.13691,1.13615,1.13649,1.13655,1.13689,1.13613,1.13644,6385.299995422363,6216.1499979496,2659
2019-01-03 15:00:00+00:00,1.13653,1.1406,1.13653,1.14019,1.13648,1.14056,1.13648,1.14016,12151.559981942177,9752.38001036644,5875
2019-01-03 15:15:00+00:00,1.14018,1.14094,1.13909,1.13932,1.14015,1.14092,1.13905,1.13928,11761.04999601841,8683.529996752739,4978
2019-01-03 15:30:00+00:00,1.13931,1.14048,1.13914,1.14032,1.13928,1.14046,1.13911,1.14029,10631.409988999367,8742.159993648529,4731
2019-01-03 15:45:00+00:00,1.14031,1.14031,1.13853,1.13931,1.14029,1.14029,1.1385,1.13927,10783.689978457987,10450.769994854927,5053
2019-01-03 16:00:00+00:00,1.1393,1.13965,1.13873,1.13947,1.13926,1.13962,1.13869,1.13943,8706.099970936775,9922.10997748375,4280
2019-01-03 16:15:00+00:00,1.13945,1.14113,1.13935,1.14069,1.13941,1.1411,1.13931,1.14064,10567.989966511726,9239.989977121353,4196
2019-01-03 16:30:00+00:00,1.14068,1.1407,1.1388,1.13931,1.14064,1.14067,1.13879,1.13927,9694.319968938828,9077.709978818893,3933
2019-01-03 16:45:00+00:00,1.13932,1.14047,1.13918,1.13986,1.13926,1.14045,1.13914,1.13983,8470.729974627495,8442.329966306686,3603
2019-01-03 17:00:00+00:00,1.13986,1.14045,1.13934,1.13967,1.13982,1.14042,1.13931,1.13964,7737.549975037575,7787.539980053902,3230
2019-01-03 17:15:00+00:00,1.13964,1.14032,1.13951,1.14017,1.13963,1.14028,1.13949,1.14013,6473.819976568222,5941.839987277985,2602
2019-01-03 17:30:00+00:00,1.14016,1.1406,1.13997,1.14013,1.14013,1.14058,1.13993,1.14009,5741.789980769157,6035.249982237816,2480
2019-01-03 17:45:00+00:00,1.14013,1.14037,1.13956,1.13991,1.14009,1.14033,1.13952,1.13987,6395.899982333183,6471.269967556,2438
2019-01-03 18:00:00+00:00,1.1399,1.14061,1.13968,1.13998,1.13987,1.14057,1.13962,1.13994,6616.929971218109,6369.739979505539,2500
2019-01-03 18:15:00+00:00,1.13998,1.14071,1.13985,1.14042,1.13994,1.14067,1.13982,1.14038,5807.949996113777,5142.149978041649,2162
2019-01-03 18:30:00+00:00,1.14041,1.14054,1.13979,1.13997,1.14037,1.14052,1.13977,1.13993,4507.10998749733,3754.6999891996384,1661
2019-01-03 18:45:00+00:00,1.13996,1.14039,1.13993,1.1401,1.13993,1.14036,1.1399,1.14006,4845.52998650074,4536.069975852966,1763
2019-01-03 19:00:00+00:00,1.1401,1.14041,1.1398,1.1398,1.14006,1.14038,1.13977,1.13977,4477.019992113113,3599.789990067482,1643
2019-01-03 19:15:00+00:00,1.1398,1.14013,1.13974,1.13986,1.13978,1.1401,1.1397,1.13984,4561.169979095459,3918.5799922943115,1619
